number,group,age,gender,education,familyincome,offender,SAVRY1,SAVRY2,SAVRY3,SAVRY4,SAVRY5,SAVRY6,SAVRY7,SAVRY8,SAVRY9,SAVRY10,H,SAVRY11,SAVRY12,SAVRY13,SAVRY14,SAVRY15,SAVRY16,S,SAVRY17,SAVRY18,SAVRY19,SAVRY20,SAVRY21,SAVRY22,SAVRY23,SAVRY24,I,P1,P2,P3,P4,P5,P6,P,Reoffending
02010090,1,16,1,9,2,5,2,1,1,1,1,2,2,1,3,2,1,2,1,1,1,2,1,0,2,1,1,1,1,2,1,2,0,2,1,1,1,2,1,2,0
02010008,1,16,1,7,2,5,2,2,1,2,1,2,1,1,1,1,0,3,1,1,3,2,2,1,1,1,1,2,2,2,1,3,1,1,1,1,1,1,1,0,0
02010006,1,16,1,8,2,3,3,1,2,3,1,2,2,1,1,3,3,2,1,1,2,1,2,0,1,1,1,1,1,2,2,2,0,1,1,1,1,1,1,0,0
03010046,1,16,1,7,2,2,2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
02010021,1,16,1,2,2,2,2,1,2,2,1,3,2,1,2,2,1,3,2,2,3,3,2,3,2,3,1,3,2,2,2,2,2,2,2,1,2,1,2,4,0
04010067,1,16,1,7,2,4,2,3,1,1,1,1,1,1,3,1,2,2,2,1,2,2,2,0,2,2,1,1,2,1,2,2,0,2,2,1,2,2,2,5,0
02010011,1,16,1,7,2,3,2,1,3,2,1,2,2,1,1,2,1,3,2,1,2,2,1,1,2,2,2,2,2,1,2,2,0,1,2,2,2,2,2,5,0
04010031,1,16,1,6,2,4,3,3,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,0,2,3,2,1,1,3,2,3,3,1,2,2,2,2,2,5,0
03010070,1,16,1,7,2,4,1,1,1,1,1,2,1,1,2,1,0,2,2,2,1,2,1,0,2,2,1,1,2,2,2,2,0,1,2,2,2,1,2,4,0
02010002,1,16,1,7,2,2,3,2,1,2,1,1,2,1,3,1,3,3,1,1,3,2,1,1,2,1,2,1,2,1,1,1,0,2,1,1,1,2,2,3,0
03010050,1,16,1,7,2,4,3,2,2,3,1,2,2,3,2,2,3,1,3,3,2,3,2,3,3,2,2,1,1,2,1,2,0,2,1,1,2,2,2,4,0
03010059,1,16,1,8,2,4,2,1,1,2,1,1,2,3,2,2,1,3,3,2,3,1,1,3,1,3,2,2,2,1,1,3,2,1,1,2,1,2,2,3,0
04010034,1,15,1,8,2,4,3,3,3,1,1,2,1,1,1,3,4,3,1,1,2,1,2,1,2,2,2,1,2,1,1,3,1,1,1,1,1,2,1,1,0
04010058,1,15,1,1,2,4,3,3,3,3,1,1,1,1,2,2,4,2,2,1,3,2,2,1,2,2,1,1,2,1,2,3,1,1,2,2,2,2,2,5,0
04010024,1,15,1,9,2,4,3,2,2,3,1,2,2,1,2,3,3,3,1,1,2,3,2,2,2,2,1,2,2,1,2,3,1,1,2,2,2,2,2,5,0
04010062,1,14,1,7,2,4,3,3,3,3,1,1,1,1,2,2,4,2,1,1,2,2,2,0,2,1,2,1,2,1,2,3,1,1,2,1,2,2,1,3,0
05010024,1,18,1,5,2,4,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,2,2,3,1,2,2,2,2,2,2,6,1
02010036,1,18,1,3,2,2,3,3,3,3,1,1,3,1,2,2,5,3,2,1,3,3,2,3,3,2,2,2,3,3,3,3,5,2,2,1,2,2,1,4,1
02010066,1,18,1,8,2,5,3,3,2,2,3,2,2,1,1,3,4,3,2,2,2,3,2,2,2,3,1,2,2,2,2,3,2,2,2,2,2,2,2,6,1
02010050,1,18,1,9,2,5,3,3,2,1,1,1,2,1,1,2,2,3,3,3,2,1,3,4,3,1,2,2,1,1,2,2,1,1,1,2,2,2,2,4,1
02010010,1,17,1,7,2,2,3,1,3,2,1,2,2,1,1,1,2,3,1,1,2,2,2,1,2,3,1,2,2,2,2,3,1,2,2,1,1,1,1,2,1
02010061,1,17,1,9,2,4,3,3,3,3,1,3,3,1,3,2,7,3,3,1,2,3,2,2,3,2,1,2,2,2,3,3,3,2,2,2,2,1,1,4,1
02010009,1,17,1,5,2,1,3,2,2,3,1,2,2,1,1,3,3,3,2,3,1,1,2,2,1,3,2,2,1,2,1,3,2,1,1,2,1,2,1,2,1
02010081,1,17,1,8,2,1,1,1,1,1,1,1,2,1,1,2,0,1,1,2,2,1,1,0,3,1,1,2,1,1,2,2,1,2,2,1,1,1,2,3,1
04010056,1,17,1,8,2,4,2,2,1,1,1,1,1,1,1,2,0,2,1,1,2,2,2,0,2,2,1,1,2,1,2,2,0,2,2,2,2,2,2,5,1
02010057,1,17,1,10,2,5,1,3,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,0,1,3,1,2,2,1,2,2,1,2,2,2,1,2,2,5,1
02010055,1,17,1,6,2,5,3,3,1,2,1,2,2,2,1,3,3,3,2,1,2,2,3,2,2,2,3,2,2,3,3,3,3,2,2,1,2,2,2,5,1
02010026,1,17,1,10,2,2,3,2,3,3,1,2,2,2,1,2,3,3,2,2,2,2,2,1,2,3,3,3,2,2,3,3,5,2,1,1,2,2,2,4,1
02010054,1,17,1,7,2,2,1,2,1,1,1,2,2,1,1,3,1,1,2,3,1,1,1,1,1,2,1,2,2,1,1,2,0,2,1,2,1,2,2,4,1
02010037,1,17,1,7,2,5,3,3,3,2,1,1,2,1,2,2,3,3,2,2,2,2,2,1,3,3,2,2,2,1,3,3,4,1,1,2,2,2,2,4,1
04010071,1,16,1,4,2,4,3,3,2,2,1,2,2,1,3,2,3,2,2,2,2,2,2,0,2,2,1,1,2,1,2,3,1,1,2,2,2,2,1,4,1
02010022,1,16,1,8,2,5,3,3,3,3,2,2,2,3,3,1,6,3,1,1,3,1,2,2,2,3,1,1,3,2,3,2,3,1,1,1,2,2,1,2,1
04010048,1,16,1,7,2,4,3,2,2,1,1,3,2,2,1,2,2,2,1,1,2,2,2,0,2,2,1,1,2,1,2,1,0,2,2,1,1,2,2,4,1
03010051,1,16,1,9,2,2,1,1,1,1,1,1,1,1,1,2,0,3,1,1,1,1,2,1,2,2,1,3,1,1,3,1,2,1,1,2,1,1,2,2,1
04010032,1,15,1,2,2,4,3,3,3,1,1,1,1,1,1,3,4,3,2,1,3,1,1,2,2,2,1,1,2,1,2,3,1,1,2,1,2,2,1,3,1
04010061,1,15,1,6,2,4,3,3,3,2,1,1,1,1,2,2,3,2,1,1,2,2,2,0,2,2,1,2,2,1,2,3,1,1,1,1,2,2,1,3,1
04010053,1,15,1,9,2,4,3,3,2,1,1,2,2,2,1,2,2,2,1,1,2,2,2,0,2,2,2,1,1,1,2,2,0,2,2,2,2,2,2,6,1
04010074,1,14,1,8,2,4,3,3,2,1,1,1,2,1,1,2,2,2,2,2,3,3,2,2,2,2,1,1,2,1,2,3,1,1,2,1,2,2,1,3,1
03010055,1,18,1,7,3,4,3,2,2,1,1,3,3,2,2,2,3,2,2,3,1,2,3,2,1,3,2,1,3,3,2,3,,1,1,2,2,2,2,4,0
05010006,1,17,1,9,3,4,1,1,1,1,1,3,3,1,1,2,2,2,1,1,2,2,2,0,1,2,1,1,1,1,1,2,,1,2,1,1,1,1,1,0
05010009,1,17,1,7,3,4,2,2,2,1,1,1,1,1,1,2,0,2,2,1,1,2,2,0,1,2,2,2,1,1,2,3,,2,1,1,1,2,1,2,0
03010018,1,18,1,5,3,4,1,2,2,1,1,2,2,1,1,2,0,2,2,1,3,2,2,1,2,2,2,2,1,2,2,1,,2,2,2,2,2,1,5,0
02010014,1,18,1,9,3,5,3,1,3,2,1,1,2,2,3,2,3,3,2,1,3,2,2,2,2,2,1,2,1,1,3,2,,1,2,1,2,1,1,2,0
03010014,1,18,1,9,3,4,2,1,2,2,1,1,1,1,1,2,0,2,1,1,2,2,2,0,2,2,1,2,1,1,3,2,,1,2,1,2,2,1,3,0
03010039,1,18,1,9,3,4,2,1,3,1,1,2,2,1,1,1,1,3,1,1,2,2,1,1,2,2,1,1,1,2,2,3,,1,2,1,2,2,1,3,0
03010074,1,18,1,5,3,4,3,1,1,1,1,2,2,1,3,3,3,3,2,2,3,2,3,3,2,3,1,3,2,2,3,3,,2,1,1,1,2,1,2,0
02010038,1,18,1,9,3,2,3,3,3,1,2,2,2,3,3,2,5,3,2,1,2,2,2,1,2,2,1,1,2,1,2,3,,2,1,1,1,1,1,1,0
03010043,1,18,1,8,3,2,2,1,1,1,1,1,1,1,1,1,0,3,1,1,2,1,1,1,1,3,1,1,2,2,1,2,,1,1,1,1,1,1,1,0
02010084,1,18,1,10,3,2,3,1,2,1,2,2,3,2,3,2,3,3,1,2,2,1,3,2,2,1,3,2,1,1,1,3,,1,1,2,1,1,1,1,0
03010007,1,18,1,8,3,2,2,1,2,1,1,1,2,2,1,2,0,2,1,1,2,2,2,0,2,2,1,1,2,1,2,3,,2,2,1,2,2,2,5,0
03010061,1,18,1,8,3,4,2,1,1,1,1,1,1,1,1,2,0,2,2,2,1,1,2,0,2,2,2,2,1,1,2,1,,2,2,1,2,2,2,5,0
05010021,1,18,1,8,3,1,2,1,2,2,2,1,2,1,2,2,0,2,2,1,2,2,2,0,2,2,1,1,1,2,2,1,,1,2,1,2,2,2,4,0
04010026,1,18,1,9,3,4,3,3,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,0,2,1,1,2,1,1,2,3,,1,2,2,2,2,2,5,0
03010038,1,18,1,9,3,4,2,1,2,1,1,2,1,1,1,2,0,3,2,2,1,1,1,1,2,2,1,2,2,2,2,3,,1,1,1,2,2,2,3,0
02010091,1,17,1,8,3,2,3,3,2,2,1,2,2,1,2,2,2,3,1,1,3,2,2,2,1,2,1,1,3,1,3,3,,2,2,1,2,2,1,4,0
03010026,1,17,1,7,3,4,2,2,2,1,1,2,2,1,1,1,0,2,2,1,1,2,1,2,1,2,2,3,1,2,1,1,,2,2,1,2,2,1,4,0
02010020,1,17,1,10,3,2,3,1,3,1,1,1,1,1,1,3,3,2,1,1,3,3,1,2,3,3,1,2,2,1,2,3,,1,2,1,2,2,1,3,0
03010040,1,17,1,4,3,4,3,2,1,1,1,1,1,1,2,3,2,2,3,3,3,3,2,4,1,1,1,1,1,1,3,2,,1,2,2,1,2,1,3,0
02010070,1,17,1,8,3,5,3,2,3,2,1,2,2,1,2,3,3,3,1,2,3,2,3,3,1,3,2,1,2,1,3,2,,1,1,2,1,2,1,2,0
02010064,1,17,1,7,3,5,3,3,2,2,1,2,2,1,3,3,4,3,1,1,3,2,2,2,2,3,2,1,2,1,3,3,,1,1,1,1,2,1,1,0
04010013,1,17,1,7,3,4,3,3,3,2,1,2,1,1,1,3,4,3,1,1,2,1,2,1,2,1,2,1,1,1,2,3,,1,1,1,1,2,1,1,0
03010066,1,17,1,10,3,2,3,3,2,1,1,2,1,1,1,1,2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,,1,1,1,1,2,1,1,0
02010078,1,17,1,7,3,3,3,3,3,2,1,3,3,1,1,3,6,2,2,1,2,2,2,0,2,3,2,1,2,1,3,3,,1,1,1,2,1,1,1,0
04010023,1,17,1,8,3,4,3,3,3,2,1,2,1,1,1,3,4,3,1,1,2,1,2,1,2,2,2,3,2,2,2,3,,1,1,1,1,2,1,1,0
03010033,1,17,1,7,3,4,3,2,3,1,1,3,3,2,2,2,4,3,1,2,1,1,2,1,2,2,3,1,1,2,3,3,,1,1,1,1,2,1,1,0
03010073,1,17,1,10,3,4,2,1,1,1,1,2,2,1,1,1,0,2,1,2,2,2,1,0,1,1,1,1,1,1,2,1,,2,2,2,1,1,2,4,0
02010079,1,17,1,9,3,3,3,1,2,2,1,1,2,1,1,3,2,3,2,2,3,2,2,1,1,2,1,2,2,3,3,3,,2,2,1,1,1,2,3,0
02010077,1,17,1,9,3,2,3,2,2,2,1,1,2,1,1,1,1,3,1,1,3,3,1,3,2,1,1,1,2,1,3,3,,2,2,2,2,1,2,5,0
04010075,1,17,1,5,3,4,3,3,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,0,2,1,1,1,1,1,2,3,1,2,2,2,2,2,2,5,0
04010042,1,17,1,6,3,4,3,3,2,2,1,1,1,1,1,3,3,3,1,1,2,2,2,1,2,2,1,2,2,2,3,3,2,2,2,2,2,2,2,5,0
03010084,1,17,1,3,3,4,3,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,0,1,2,2,3,1,1,1,1,1,1,2,1,1,2,2,3,0
03010085,1,17,1,3,3,4,3,1,1,1,1,1,2,1,1,3,2,2,1,2,1,3,1,1,1,2,1,1,1,1,1,2,0,1,2,1,1,2,2,3,0
02010024,1,17,1,8,3,2,3,2,1,2,1,2,2,1,1,3,2,3,2,2,2,1,1,1,2,2,2,3,2,2,3,3,3,2,1,1,1,1,2,2,0
03010021,1,17,1,9,3,4,2,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,1,0,1,2,1,1,1,1,2,3,1,1,1,2,2,2,2,4,0
03010053,1,16,1,7,3,4,3,1,1,1,1,1,2,1,2,2,1,2,3,2,3,2,2,2,2,3,2,2,2,3,2,2,1,1,2,1,2,1,1,2,0
04010002,1,16,1,7,3,4,3,2,3,1,1,3,2,1,1,2,3,3,3,2,3,3,2,4,2,2,2,2,2,1,2,3,1,1,2,1,2,2,1,3,0
02010046,1,16,1,8,3,1,3,1,3,2,2,3,2,1,1,2,3,3,2,2,2,2,2,1,3,3,2,1,3,2,3,3,4,1,2,1,2,2,1,3,0
03010077,1,16,1,5,3,4,2,2,1,1,1,1,1,1,1,1,0,2,1,1,1,1,2,0,1,1,1,1,1,1,1,1,0,1,2,1,2,2,1,3,0
02010032,1,16,1,9,3,1,3,1,1,1,1,2,2,1,1,2,1,3,1,1,3,3,1,3,2,2,1,2,2,3,3,3,3,2,2,2,2,2,2,6,0
02010015,1,16,1,8,3,5,2,1,1,3,1,1,1,1,1,2,1,3,1,1,2,1,1,1,2,2,1,2,2,3,2,3,2,2,2,2,2,2,2,6,0
02010003,1,16,1,8,3,2,3,1,1,1,1,3,1,1,1,1,2,3,1,3,2,3,2,3,2,3,1,1,1,2,1,1,1,2,2,1,2,1,2,4,0
02010013,1,16,1,8,3,5,2,1,1,2,1,2,1,1,2,3,1,3,2,3,2,1,2,1,2,3,1,1,2,1,2,2,1,1,2,2,2,2,2,5,0
02010001,1,15,1,7,3,1,3,1,2,1,1,2,1,1,1,3,2,3,1,1,2,1,1,1,1,1,2,2,1,2,1,1,0,2,2,2,2,1,1,4,0
04010073,1,15,1,7,3,4,3,3,2,2,1,1,1,1,2,1,2,2,1,1,2,2,2,0,2,2,1,1,2,1,2,3,1,2,2,1,2,2,1,4,0
04010020,1,15,1,8,3,4,3,3,3,3,1,2,1,1,1,2,4,3,1,1,2,1,2,1,3,2,1,1,2,1,2,3,2,1,2,1,1,2,1,2,0
04010068,1,14,1,9,3,4,3,2,2,1,1,1,1,1,3,2,2,2,1,1,2,2,2,0,2,2,2,2,2,1,2,3,1,1,1,1,1,2,2,2,0
04010041,1,17,1,8,3,4,3,3,3,3,1,1,1,1,1,3,5,3,2,1,2,2,3,2,3,2,2,2,2,3,2,1,,1,1,1,2,1,1,1,1
05010022,1,18,1,5,3,4,3,1,2,1,1,2,2,1,3,3,3,2,2,2,3,3,2,2,1,2,1,2,2,2,2,2,0,2,1,1,1,2,1,2,1
02010071,1,18,1,9,3,1,3,1,1,1,1,1,2,1,3,2,2,3,1,2,2,1,3,2,3,3,1,2,2,2,3,3,4,2,1,1,2,2,1,3,1
02010048,1,18,1,8,3,5,3,1,2,3,1,1,2,1,1,3,3,3,1,1,2,2,2,1,3,2,2,2,2,2,3,3,3,1,1,2,2,2,1,3,1
04010066,1,17,1,9,3,4,2,1,1,1,1,1,1,1,1,2,0,3,1,1,2,2,2,1,2,2,2,1,1,1,1,2,0,1,1,1,1,1,1,0,1
02010074,1,17,1,9,3,2,3,1,1,1,1,2,1,1,2,3,2,3,1,1,3,3,2,3,2,2,1,2,3,2,3,3,3,2,2,1,2,1,2,3,1
03010083,1,17,1,10,3,4,2,1,3,1,2,1,1,2,1,2,1,3,2,1,1,2,2,1,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,6,1
04010033,1,17,1,8,3,4,3,2,3,3,1,2,2,1,1,2,3,3,1,1,2,2,2,1,3,3,2,3,1,1,2,3,4,1,2,2,2,2,2,4,1
04010047,1,16,1,7,3,4,2,2,1,1,1,1,2,1,1,2,0,2,1,1,2,1,1,0,2,2,1,1,1,2,1,1,0,2,2,2,1,1,1,3,1
04010019,1,16,1,8,3,4,3,3,1,1,1,2,1,1,1,3,3,1,1,2,3,3,1,2,2,2,1,1,1,1,2,2,0,1,2,2,2,2,1,4,1
04010055,1,16,1,8,3,4,3,3,2,1,1,2,1,1,1,1,2,3,1,1,2,1,2,1,2,2,2,2,2,1,1,1,0,1,1,1,1,2,1,1,1
02010016,1,16,1,8,3,2,3,1,2,3,1,1,2,2,2,2,2,3,1,1,3,1,3,3,2,3,1,2,2,1,2,2,1,2,2,1,2,2,2,5,1
04010059,1,15,1,7,3,4,3,3,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,0,2,2,1,2,2,1,2,3,1,1,2,1,1,2,1,2,1
04010036,1,15,1,6,3,4,3,3,1,1,2,1,1,1,1,2,2,2,1,1,3,3,2,2,2,2,2,1,1,1,2,3,1,1,2,2,2,2,2,5,1
04010064,1,14,1,7,3,4,3,3,2,3,1,2,1,1,1,2,3,3,1,1,1,1,2,1,2,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1
05010003,1,17,1,10,4,3,3,1,3,1,1,2,1,1,1,1,2,3,1,1,1,1,2,1,2,2,2,1,1,1,1,2,,1,1,1,2,1,1,1,0
05010008,1,18,1,,4,4,2,1,1,1,2,2,1,1,2,2,0,2,2,2,2,2,1,0,1,2,2,2,1,2,2,1,,1,2,1,1,2,1,2,0
03010063,1,18,1,8,4,4,1,1,1,2,1,1,2,1,2,2,0,2,2,1,2,2,2,0,3,1,2,1,3,2,3,1,,1,2,1,2,2,1,3,0
03010060,1,18,1,7,4,4,2,2,1,1,1,2,1,2,2,1,0,2,2,2,2,2,2,0,2,2,2,1,2,2,2,2,,2,1,2,2,2,1,4,0
03010042,1,17,1,6,4,2,1,1,1,2,1,1,1,1,2,1,0,1,1,2,1,1,1,0,3,1,1,1,1,1,1,1,,2,1,2,1,2,1,3,0
05010002,1,17,1,8,4,4,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,0,2,2,2,2,2,2,1,3,,1,1,1,1,2,1,1,0
03010056,1,17,1,7,4,4,3,2,2,1,1,2,2,2,3,2,2,3,2,1,3,2,2,2,2,3,1,3,3,2,2,2,,2,2,1,2,1,2,4,0
04010070,1,16,1,7,4,4,3,3,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,0,1,2,2,1,2,1,2,2,0,1,1,1,1,2,1,1,0
02010007,1,16,1,9,4,2,2,1,1,2,1,2,2,1,2,3,1,2,1,1,1,1,2,0,1,2,1,1,1,1,1,2,0,1,1,1,1,1,1,0,0
04010069,1,15,1,8,4,4,3,2,2,1,1,2,1,1,2,2,1,3,1,1,2,2,3,2,2,2,1,1,1,2,1,2,0,1,1,1,1,2,1,1,0
04010010,1,15,1,5,4,4,3,3,2,3,1,1,1,1,1,2,3,3,1,1,2,2,2,1,3,2,2,1,1,2,3,2,2,2,2,2,2,2,2,6,0
04010028,1,18,1,8,4,4,3,3,1,2,1,2,1,1,1,3,3,2,2,1,1,1,2,0,2,2,1,1,2,1,2,3,1,1,2,2,2,2,1,4,1
04010049,1,17,1,8,4,4,3,3,3,3,1,2,1,3,2,2,5,3,2,1,3,2,3,3,3,3,3,3,2,3,2,3,6,1,2,1,2,2,1,3,1
04010030,1,17,1,8,4,4,3,3,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,0,3,2,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1
04010054,1,17,1,8,4,4,3,3,3,3,1,2,1,1,1,2,4,3,1,1,2,1,2,1,3,2,1,2,3,1,2,3,3,1,1,1,2,2,1,2,1
04010021,1,16,1,7,4,1,3,1,2,3,1,2,1,1,2,1,2,2,1,1,3,3,2,2,2,2,2,1,1,1,2,3,1,1,2,2,2,2,1,4,1
03010064,1,18,1,9,5,4,2,2,1,1,1,1,1,1,1,1,0,2,1,1,2,1,2,0,2,1,1,1,1,1,1,1,,1,1,1,1,2,1,1,0
05010017,1,18,1,10,5,4,1,1,1,1,1,1,1,1,1,2,0,2,1,2,1,2,1,0,1,1,1,2,1,1,2,3,,1,1,2,1,2,1,2,0
03010022,1,18,1,9,5,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0
04010005,1,17,1,8,5,4,3,3,2,1,1,2,1,1,1,2,2,3,1,1,2,1,2,1,2,2,2,1,1,2,1,2,,1,1,1,1,2,1,1,0
03010068,1,16,1,8,5,4,1,2,1,1,1,1,2,2,1,2,0,2,1,3,1,3,2,2,1,2,2,3,3,1,3,3,3,2,1,2,1,2,1,3,0
04010072,1,16,1,8,5,4,3,2,3,1,1,1,1,1,1,2,2,3,1,1,2,1,2,0,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0
04010037,1,18,1,6,5,4,3,3,3,3,1,2,3,1,3,1,6,3,2,1,3,2,3,3,3,3,2,2,2,1,2,2,2,1,2,2,1,2,1,3,1
04010043,1,16,1,7,5,4,3,3,3,3,1,2,1,1,2,1,4,3,2,1,2,1,2,1,3,3,2,2,2,3,3,3,5,1,1,1,2,2,1,2,1
